team_id,date,GD,pastgame_GD
8178,2008-09-13 00:00:00,-1,0.75
8398,2008-09-13 00:00:00,-3,-1.75
8455,2008-09-13 00:00:00,2,1.75
8472,2008-09-13 00:00:00,0,-0.75
8549,2008-09-13 00:00:00,-1,0.0
8559,2008-09-13 00:00:00,-1,0.0
8654,2008-09-13 00:00:00,-1,0.0
8667,2008-09-13 00:00:00,1,-0.75
8721,2008-09-13 00:00:00,0,0.25
9823,2008-09-13 00:00:00,3,1.5
9825,2008-09-13 00:00:00,4,1.75
10189,2008-09-13 00:00:00,0,1.0
10269,2008-09-13 00:00:00,0,0.5
8177,2008-09-13 00:00:00,0,-0.25
8226,2008-09-13 00:00:00,0,0.25
8456,2008-09-13 00:00:00,-2,0.5
8462,2008-09-13 00:00:00,1,-0.25
8528,2008-09-13 00:00:00,0,0.75
8650,2008-09-13 00:00:00,1,0.75
8655,2008-09-13 00:00:00,-4,-1.5
8659,2008-09-13 00:00:00,1,-0.25
8697,2008-09-13 00:00:00,3,0.5
8722,2008-09-13 00:00:00,-3,-0.5
9789,2008-09-13 00:00:00,0,0.5
9790,2008-09-13 00:00:00,1,1.0
10261,2008-09-13 00:00:00,-1,-0.75
8668,2008-09-14 00:00:00,1,-0.5
9788,2008-09-14 00:00:00,-4,-1.5
9912,2008-09-14 00:00:00,-2,-1.0
9904,2008-09-14 00:00:00,4,-0.25
9911,2008-09-14 00:00:00,2,0.0
10194,2008-09-14 00:00:00,-1,-0.75
10252,2008-09-15 00:00:00,1,0.5
8586,2008-09-15 00:00:00,-1,-0.75
9904,2008-09-19 00:00:00,-4,-0.5
8178,2008-09-19 00:00:00,4,2.0
8177,2008-09-20 00:00:00,1,-0.5
8549,2008-09-20 00:00:00,-2,-0.75
8697,2008-09-20 00:00:00,3,1.25
8722,2008-09-20 00:00:00,-2,-0.75
9810,2008-09-20 00:00:00,-1,-0.75
9825,2008-09-20 00:00:00,2,2.0
9879,2008-09-20 00:00:00,-1,0.0
9911,2008-09-20 00:00:00,0,0.25
10194,2008-09-20 00:00:00,0,-0.25
10261,2008-09-20 00:00:00,-2,-1.25
8398,2008-09-20 00:00:00,0,-1.0
8472,2008-09-20 00:00:00,2,0.0
8559,2008-09-20 00:00:00,-2,-1.0
8650,2008-09-20 00:00:00,0,0.5
8654,2008-09-20 00:00:00,2,0.25
8655,2008-09-20 00:00:00,1,-1.5
9788,2008-09-20 00:00:00,-1,-1.25
9823,2008-09-20 00:00:00,-3,0.75
9912,2008-09-20 00:00:00,2,-0.5
10189,2008-09-20 00:00:00,1,0.5
8295,2008-09-21 00:00:00,-2,-1.0
8462,2008-09-21 00:00:00,-6,-0.75
8528,2008-09-21 00:00:00,0,1.0
8668,2008-09-21 00:00:00,0,-0.25
9789,2008-09-21 00:00:00,-3,-0.5
9790,2008-09-21 00:00:00,-3,0.25
10252,2008-09-21 00:00:00,1,0.25
10260,2008-09-21 00:00:00,0,0.0
8226,2008-09-21 00:00:00,3,0.25
8455,2008-09-21 00:00:00,0,0.75
8456,2008-09-21 00:00:00,6,2.5
8586,2008-09-21 00:00:00,0,-0.5
8659,2008-09-21 00:00:00,-1,-0.25
8667,2008-09-21 00:00:00,0,-1.0
8721,2008-09-21 00:00:00,3,0.75
10269,2008-09-21 00:00:00,2,0.5
8529,2008-09-24 00:00:00,-1,-1.75
8530,2008-09-24 00:00:00,0,0.25
8535,2008-09-24 00:00:00,-3,-0.75
8540,2008-09-24 00:00:00,-1,0.0
8558,2008-09-24 00:00:00,-2,0.0
8564,2008-09-24 00:00:00,1,0.25
8600,2008-09-24 00:00:00,3,1.0
8603,2008-09-24 00:00:00,-1,-0.5
8686,2008-09-24 00:00:00,-2,-0.25
8696,2008-09-24 00:00:00,-2,-1.0
9783,2008-09-24 00:00:00,0,0.0
9804,2008-09-24 00:00:00,0,0.25
9869,2008-09-24 00:00:00,-6,-3.25
9882,2008-09-24 00:00:00,0,-0.5
9888,2008-09-24 00:00:00,-1,-0.5
9906,2008-09-24 00:00:00,1,2.0
8302,2008-09-24 00:00:00,2,0.75
8305,2008-09-24 00:00:00,-1,0.0
8371,2008-09-24 00:00:00,0,-0.25
8524,2008-09-24 00:00:00,1,0.5
8533,2008-09-24 00:00:00,0,-0.25
8543,2008-09-24 00:00:00,3,1.25
8551,2008-09-24 00:00:00,0,0.25
8633,2008-09-24 00:00:00,6,2.0
8634,2008-09-24 00:00:00,1,1.25
8636,2008-09-24 00:00:00,1,1.0
8690,2008-09-24 00:00:00,-1,-1.25
9857,2008-09-24 00:00:00,-3,-1.0
9875,2008-09-24 00:00:00,1,0.5
